Source;Target;Time
2401;1;2014-01-25T05:00:00.000
10;1;2013-07-31T04:00:00.000
2378;1;2013-09-08T04:00:00.000
126;1;2013-07-19T04:00:00.000
3245;1;2013-05-31T04:00:00.000
783;1;2013-05-16T04:00:00.000
493;1;2013-03-01T05:00:00.000
1358;1;2013-07-02T04:00:00.000
1180;1;2013-09-04T04:00:00.000
529;1;2013-02-23T05:00:00.000
333;1;2013-01-04T05:00:00.000
1538;1;2013-01-21T05:00:00.000
2282;1;2012-11-25T05:00:00.000
1519;1;2013-03-22T04:00:00.000
2966;1;2012-07-14T04:00:00.000
474;1;2012-09-05T04:00:00.000
330;1;2013-10-10T04:00:00.000
958;1;2013-03-18T04:00:00.000
17;1;2012-03-04T05:00:00.000
1295;1;2012-02-18T05:00:00.000
38;1;2012-11-29T05:00:00.000
1952;1;2011-05-16T04:00:00.000
223;1;2011-05-03T04:00:00.000
625;1;2010-12-27T05:00:00.000
1392;1;2014-12-09T05:00:00.000
3355;1;2014-11-03T05:00:00.000
1881;1;2014-07-10T04:00:00.000
58;1;2014-10-07T04:00:00.000
96;1;2014-09-08T04:00:00.000
1580;1;2014-02-16T05:00:00.000
196;1;2014-02-05T05:00:00.000
146;1;2014-01-28T05:00:00.000
416;1;2014-02-08T05:00:00.000
1198;1;2014-01-23T05:00:00.000
3319;1;2013-12-17T05:00:00.000
1867;1;2014-04-02T04:00:00.000
896;1;2013-11-10T05:00:00.000
617;1;2013-11-08T05:00:00.000
3300;1;2013-09-27T04:00:00.000
1877;1;2013-09-05T04:00:00.000
462;1;2013-09-05T04:00:00.000
3279;1;2013-08-05T04:00:00.000
454;1;2013-12-17T05:00:00.000
1860;1;2013-06-14T04:00:00.000
121;1;2013-06-04T04:00:00.000
151;1;2013-08-13T04:00:00.000
1570;1;2013-07-13T04:00:00.000
1573;1;2014-08-25T04:00:00.000
1063;1;2013-04-14T04:00:00.000
1353;1;2014-06-08T04:00:00.000
459;1;2013-07-04T04:00:00.000
2334;1;2013-03-22T04:00:00.000
1267;1;2013-03-15T04:00:00.000
1060;1;2013-03-01T05:00:00.000
1061;1;2013-02-23T05:00:00.000
7431;1;2013-03-05T05:00:00.000
1355;1;2013-08-19T04:00:00.000
71;1;2012-12-09T05:00:00.000
3070;1;2012-11-27T05:00:00.000
2113;1;2012-11-12T05:00:00.000
3001;1;2012-11-11T05:00:00.000
396;1;2012-11-09T05:00:00.000
2260;1;2012-10-17T04:00:00.000
142;1;2013-04-10T04:00:00.000
2238;1;2012-08-05T04:00:00.000
123;1;2012-08-02T04:00:00.000
2942;1;2012-09-18T04:00:00.000
1509;1;2012-06-18T04:00:00.000
7410;1;2012-05-22T04:00:00.000
1760;1;2012-04-26T04:00:00.000
2876;1;2012-03-30T04:00:00.000
259;1;2014-04-14T04:00:00.000
1493;1;2012-03-27T04:00:00.000
2845;1;2012-02-16T05:00:00.000
370;1;2012-02-13T05:00:00.000
2844;1;2012-02-11T05:00:00.000
2167;1;2012-01-24T05:00:00.000
156;1;2012-01-05T05:00:00.000
2808;1;2011-12-15T05:00:00.000
255;1;2011-12-06T05:00:00.000
736;1;2011-12-20T05:00:00.000
7603;1;2011-11-10T05:00:00.000
346;1;2012-04-08T04:00:00.000
9;1;2012-02-17T05:00:00.000
75;1;2011-11-07T05:00:00.000
175;1;2011-10-18T04:00:00.000
2754;1;2011-09-29T04:00:00.000
22;1;2011-11-08T05:00:00.000
155;1;2011-07-22T04:00:00.000
1261;1;2011-06-29T04:00:00.000
2552;1;2011-06-12T04:00:00.000
2586;1;2011-06-09T04:00:00.000
710;1;2011-08-28T04:00:00.000
578;1;2011-06-06T04:00:00.000
472;1;2011-05-31T04:00:00.000
2472;1;2011-05-03T04:00:00.000
1606;1;2011-04-06T04:00:00.000
4;1;2011-03-09T05:00:00.000
563;1;2011-08-09T04:00:00.000
744;1;2011-01-09T05:00:00.000
3422;1;2015-01-04T05:00:00.000
250;1;2014-12-12T05:00:00.000
249;1;2014-12-09T05:00:00.000
2427;1;2014-11-27T05:00:00.000
3414;1;2014-11-26T05:00:00.000
1590;1;2014-10-31T04:00:00.000
2305;1;2014-09-28T04:00:00.000
1900;1;2014-09-22T04:00:00.000
3392;1;2014-07-28T04:00:00.000
1065;1;2014-07-18T04:00:00.000
1147;1;2014-06-10T04:00:00.000
1072;1;2014-06-08T04:00:00.000
3375;1;2014-05-04T04:00:00.000
1024;1;2014-04-07T04:00:00.000
709;1;2014-04-03T04:00:00.000
1382;1;2014-02-10T05:00:00.000
3332;1;2013-12-05T05:00:00.000
1885;1;2013-11-30T05:00:00.000
3330;1;2013-11-29T05:00:00.000
1197;1;2013-11-23T05:00:00.000
3316;1;2013-11-23T05:00:00.000
1886;1;2013-11-20T05:00:00.000
154;1;2013-11-19T05:00:00.000
1522;1;2013-09-23T04:00:00.000
2391;1;2013-09-14T04:00:00.000
3298;1;2013-09-03T04:00:00.000
432;1;2013-08-31T04:00:00.000
3292;1;2013-08-27T04:00:00.000
3290;1;2013-08-27T04:00:00.000
7597;1;2013-08-09T04:00:00.000
3274;1;2013-08-03T04:00:00.000
1875;1;2013-08-02T04:00:00.000
291;1;2013-07-27T04:00:00.000
158;1;2013-07-26T04:00:00.000
1579;1;2013-07-23T04:00:00.000
1846;1;2013-06-28T04:00:00.000
1066;1;2013-06-28T04:00:00.000
290;1;2013-05-24T04:00:00.000
3233;1;2013-05-19T04:00:00.000
891;1;2013-05-16T04:00:00.000
247;1;2013-07-08T04:00:00.000
1856;1;2013-05-02T04:00:00.000
3211;1;2013-05-03T04:00:00.000
115;1;2013-05-01T04:00:00.000
1365;1;2013-04-26T04:00:00.000
483;1;2013-04-25T04:00:00.000
3210;1;2013-04-20T04:00:00.000
3189;1;2013-04-17T04:00:00.000
3193;1;2013-04-16T04:00:00.000
2352;1;2013-04-14T04:00:00.000
1847;1;2013-04-13T04:00:00.000
3173;1;2013-04-07T04:00:00.000
1051;1;2013-04-04T04:00:00.000
1843;1;2013-04-01T04:00:00.000
2342;1;2013-03-30T04:00:00.000
7341;1;2013-03-29T04:00:00.000
3139;1;2013-03-29T04:00:00.000
1186;1;2013-03-28T04:00:00.000
3167;1;2013-03-28T04:00:00.000
3149;1;2013-03-26T04:00:00.000
1842;1;2013-03-25T04:00:00.000
3156;1;2013-03-18T04:00:00.000
3141;1;2013-03-15T04:00:00.000
817;1;2013-03-14T04:00:00.000
1840;1;2013-03-11T04:00:00.000
1839;1;2013-03-11T04:00:00.000
2324;1;2013-03-08T05:00:00.000
3143;1;2013-03-08T05:00:00.000
3142;1;2013-03-05T05:00:00.000
174;1;2013-02-20T05:00:00.000
2315;1;2013-02-12T05:00:00.000
1356;1;2013-02-07T05:00:00.000
1835;1;2013-02-03T05:00:00.000
296;1;2013-02-02T05:00:00.000
3118;1;2013-04-15T04:00:00.000
1542;1;2013-01-29T05:00:00.000
3111;1;2013-01-17T05:00:00.000
753;1;2013-01-14T05:00:00.000
3088;1;2012-12-19T05:00:00.000
395;1;2012-12-18T05:00:00.000
3068;1;2012-12-07T05:00:00.000
3042;1;2012-12-06T05:00:00.000
1442;1;2012-12-05T05:00:00.000
1339;1;2012-12-17T05:00:00.000
596;1;2012-12-02T05:00:00.000
2281;1;2012-11-27T05:00:00.000
222;1;2012-11-23T05:00:00.000
194;1;2012-11-23T05:00:00.000
3064;1;2012-11-23T05:00:00.000
1812;1;2012-11-22T05:00:00.000
1796;1;2012-11-20T05:00:00.000
701;1;2012-11-18T05:00:00.000
124;1;2012-11-15T05:00:00.000
3057;1;2012-11-13T05:00:00.000
7427;1;2012-11-14T05:00:00.000
2276;1;2012-11-09T05:00:00.000
2271;1;2012-10-31T04:00:00.000
1525;1;2012-10-19T04:00:00.000
2235;1;2012-10-17T04:00:00.000
3027;1;2012-10-16T04:00:00.000
2090;1;2012-10-15T04:00:00.000
1342;1;2012-10-12T04:00:00.000
331;1;2012-10-12T04:00:00.000
3023;1;2012-10-10T04:00:00.000
2261;1;2012-10-10T04:00:00.000
68;1;2012-10-10T04:00:00.000
116;1;2012-10-07T04:00:00.000
1043;1;2012-10-07T04:00:00.000
3020;1;2012-09-30T04:00:00.000
491;1;2012-09-24T04:00:00.000
179;1;2012-09-23T04:00:00.000
2252;1;2012-10-03T04:00:00.000
214;1;2012-09-20T04:00:00.000
439;1;2012-09-18T04:00:00.000
2147;1;2012-09-16T04:00:00.000
1167;1;2012-09-13T04:00:00.000
697;1;2012-09-09T04:00:00.000
67;1;2012-09-09T04:00:00.000
1793;1;2012-09-08T04:00:00.000
258;1;2012-09-04T04:00:00.000
1340;1;2012-09-01T04:00:00.000
2996;1;2012-08-30T04:00:00.000
1520;1;2012-08-24T04:00:00.000
1336;1;2012-08-19T04:00:00.000
30;1;2012-08-19T04:00:00.000
178;1;2012-09-20T04:00:00.000
747;1;2012-07-17T04:00:00.000
2962;1;2012-07-04T04:00:00.000
2952;1;2012-06-22T04:00:00.000
455;1;2012-06-18T04:00:00.000
260;1;2012-06-13T04:00:00.000
623;1;2012-06-11T04:00:00.000
29;1;2012-06-06T04:00:00.000
1510;1;2012-06-01T04:00:00.000
2927;1;2012-05-29T04:00:00.000
301;1;2012-05-16T04:00:00.000
2907;1;2012-05-05T04:00:00.000
2909;1;2012-05-02T04:00:00.000
1148;1;2012-04-26T04:00:00.000
955;1;2012-04-25T04:00:00.000
1502;1;2012-04-22T04:00:00.000
2853;1;2012-04-20T04:00:00.000
1500;1;2012-04-18T04:00:00.000
2178;1;2012-04-18T04:00:00.000
1320;1;2012-04-17T04:00:00.000
874;1;2012-04-17T04:00:00.000
2177;1;2012-04-12T04:00:00.000
2892;1;2012-04-11T04:00:00.000
636;1;2013-04-02T04:00:00.000
1034;1;2012-04-16T04:00:00.000
1494;1;2012-04-04T04:00:00.000
276;1;2012-04-02T04:00:00.000
1318;1;2012-03-30T04:00:00.000
117;1;2012-03-28T04:00:00.000
1492;1;2012-03-21T04:00:00.000
1302;1;2012-03-21T04:00:00.000
1313;1;2012-03-19T04:00:00.000
1491;1;2012-03-17T04:00:00.000
2870;1;2012-03-14T04:00:00.000
2181;1;2012-03-12T04:00:00.000
1309;1;2012-03-02T05:00:00.000
1750;1;2012-02-26T05:00:00.000
2848;1;2012-02-23T05:00:00.000
1458;1;2012-02-20T05:00:00.000
951;1;2012-02-19T05:00:00.000
1029;1;2012-02-19T05:00:00.000
2176;1;2012-02-14T05:00:00.000
2846;1;2012-02-13T05:00:00.000
347;1;2012-02-12T05:00:00.000
2173;1;2012-02-10T05:00:00.000
2826;1;2012-01-20T05:00:00.000
1742;1;2012-06-28T04:00:00.000
2166;1;2012-01-17T05:00:00.000
2823;1;2012-01-11T05:00:00.000
2820;1;2012-01-02T05:00:00.000
2814;1;2011-12-27T05:00:00.000
1736;1;2011-12-23T05:00:00.000
1025;1;2011-12-21T05:00:00.000
1482;1;2011-12-20T05:00:00.000
1483;1;2011-12-19T05:00:00.000
2152;1;2012-11-05T05:00:00.000
2806;1;2011-12-08T05:00:00.000
1128;1;2011-12-03T05:00:00.000
2801;1;2011-11-30T05:00:00.000
2795;1;2011-11-24T05:00:00.000
1290;1;2011-11-24T05:00:00.000
1288;1;2011-11-22T05:00:00.000
1436;1;2011-11-18T05:00:00.000
2498;1;2011-11-16T05:00:00.000
2784;1;2011-11-11T05:00:00.000
587;1;2011-11-08T05:00:00.000
2780;1;2011-11-03T04:00:00.000
2779;1;2011-11-01T04:00:00.000
305;1;2011-11-01T04:00:00.000
944;1;2011-11-01T04:00:00.000
2129;1;2011-10-25T04:00:00.000
683;1;2011-10-24T04:00:00.000
42;1;2011-10-22T04:00:00.000
1136;1;2011-10-16T04:00:00.000
1283;1;2011-10-14T04:00:00.000
2127;1;2011-10-03T04:00:00.000
2093;1;2011-09-22T04:00:00.000
1284;1;2011-09-20T04:00:00.000
72;1;2011-09-18T04:00:00.000
264;1;2011-09-17T04:00:00.000
2756;1;2011-09-16T04:00:00.000
1285;1;2011-09-15T04:00:00.000
613;1;2011-09-15T04:00:00.000
304;1;2011-09-13T04:00:00.000
1282;1;2011-09-13T04:00:00.000
4721;1;2011-09-11T04:00:00.000
1475;1;2011-09-03T04:00:00.000
2746;1;2011-09-01T04:00:00.000
1715;1;2011-08-30T04:00:00.000
734;1;2011-08-27T04:00:00.000
2108;1;2011-08-26T04:00:00.000
1923;1;2011-08-24T04:00:00.000
1465;1;2011-08-22T04:00:00.000
2742;1;2011-08-19T04:00:00.000
2117;1;2011-08-18T04:00:00.000
1720;1;2011-08-16T04:00:00.000
90;1;2011-08-16T04:00:00.000
2731;1;2011-08-09T04:00:00.000
1457;1;2011-08-08T04:00:00.000
2725;1;2011-08-08T04:00:00.000
2109;1;2011-07-25T04:00:00.000
543;1;2011-08-05T04:00:00.000
2102;1;2011-07-19T04:00:00.000
712;1;2011-07-10T04:00:00.000
231;1;2011-07-20T04:00:00.000
2687;1;2011-07-06T04:00:00.000
1708;1;2011-07-04T04:00:00.000
1129;1;2011-07-03T04:00:00.000
76;1;2011-06-29T04:00:00.000
2065;1;2011-06-12T04:00:00.000
1251;1;2011-06-08T04:00:00.000
1248;1;2011-06-07T04:00:00.000
725;1;2011-06-04T04:00:00.000
2559;1;2011-06-03T04:00:00.000
507;1;2011-05-30T04:00:00.000
1942;1;2011-05-09T04:00:00.000
1232;1;2011-05-06T04:00:00.000
534;1;2011-05-05T04:00:00.000
994;1;2011-04-30T04:00:00.000
503;1;2011-04-26T04:00:00.000
2448;1;2011-04-12T04:00:00.000
846;1;2011-04-05T04:00:00.000
1;160;2011-09-28T04:00:00.000
1;1028;2012-09-28T04:00:00.000
1;309;2013-09-05T04:00:00.000
1;11;2013-06-24T04:00:00.000
1;594;2013-06-10T04:00:00.000
1;1316;2012-11-19T05:00:00.000
1;1392;2014-11-26T05:00:00.000
1;1583;2013-10-05T04:00:00.000
1;888;2013-04-11T04:00:00.000
1;637;2014-12-17T05:00:00.000
1;1520;2014-10-07T04:00:00.000
1;18;2011-09-02T04:00:00.000
1;35;2012-03-01T05:00:00.000
1;1901;2014-09-27T04:00:00.000
1;44;2014-11-13T05:00:00.000
1;10;2013-07-31T04:00:00.000
1;783;2013-05-16T04:00:00.000
1;821;2013-05-21T04:00:00.000
1;112;2013-03-06T05:00:00.000
1;964;2012-10-14T04:00:00.000
1;89;2012-08-21T04:00:00.000
1;20;2012-07-18T04:00:00.000
1;256;2012-07-23T04:00:00.000
1;223;2011-05-05T04:00:00.000
1;1881;2015-01-03T05:00:00.000
1;351;2014-08-30T04:00:00.000
1;196;2014-02-05T05:00:00.000
1;416;2014-02-08T05:00:00.000
1;1877;2013-09-11T04:00:00.000
1;87;2013-10-02T04:00:00.000
1;2367;2013-06-20T04:00:00.000
1;3254;2013-06-28T04:00:00.000
1;1573;2014-08-25T04:00:00.000
1;247;2013-07-08T04:00:00.000
1;1353;2014-06-08T04:00:00.000
1;493;2013-03-19T04:00:00.000
1;1358;2013-07-02T04:00:00.000
1;1177;2013-02-28T05:00:00.000
1;1538;2013-01-14T05:00:00.000
1;2296;2013-02-04T05:00:00.000
1;222;2013-12-07T05:00:00.000
1;2282;2012-11-25T05:00:00.000
1;2113;2012-11-12T05:00:00.000
1;2260;2012-10-17T04:00:00.000
1;71;2012-09-25T04:00:00.000
1;142;2013-04-10T04:00:00.000
1;2249;2012-12-19T05:00:00.000
1;1519;2013-03-22T04:00:00.000
1;2227;2012-11-19T05:00:00.000
1;1496;2012-04-11T04:00:00.000
1;519;2012-04-18T04:00:00.000
1;1493;2012-04-16T04:00:00.000
1;1315;2012-04-19T04:00:00.000
1;1750;2012-02-26T05:00:00.000
1;156;2012-01-05T05:00:00.000
1;9;2012-02-17T05:00:00.000
1;1724;2011-12-02T05:00:00.000
1;22;2011-11-08T05:00:00.000
1;15;2011-10-29T04:00:00.000
1;255;2011-12-06T05:00:00.000
1;1267;2013-03-15T04:00:00.000
1;1261;2011-06-29T04:00:00.000
1;57;2011-09-02T04:00:00.000
1;710;2011-08-28T04:00:00.000
1;472;2011-05-30T04:00:00.000
1;152;2012-11-28T05:00:00.000
1;1952;2011-08-10T04:00:00.000
1;1606;2011-04-06T04:00:00.000
1;379;2011-03-24T04:00:00.000
1;4;2011-03-15T04:00:00.000
1;563;2011-08-09T04:00:00.000
1;113;2010-11-29T05:00:00.000
1;744;2010-12-27T05:00:00.000
1;625;2010-12-27T05:00:00.000
1;3422;2015-01-04T05:00:00.000
1;3421;2015-01-01T05:00:00.000
1;3418;2014-12-23T05:00:00.000
1;3402;2014-12-23T05:00:00.000
1;250;2014-12-23T05:00:00.000
1;249;2014-12-09T05:00:00.000
1;2427;2014-12-23T05:00:00.000
1;3414;2014-11-27T05:00:00.000
1;1590;2014-11-14T05:00:00.000
1;3355;2014-11-03T05:00:00.000
1;2305;2014-10-15T04:00:00.000
1;1900;2014-09-26T04:00:00.000
1;3385;2014-06-26T04:00:00.000
1;1147;2014-06-13T04:00:00.000
1;377;2014-06-13T04:00:00.000
1;1072;2014-06-08T04:00:00.000
1;96;2014-05-14T04:00:00.000
1;118;2014-05-12T04:00:00.000
1;3375;2014-05-04T04:00:00.000
1;3367;2014-04-24T04:00:00.000
1;1024;2014-04-07T04:00:00.000
1;709;2014-04-03T04:00:00.000
1;3349;2014-03-20T04:00:00.000
1;1580;2014-03-20T04:00:00.000
1;545;2014-02-08T05:00:00.000
1;146;2014-01-24T05:00:00.000
1;1198;2014-01-15T05:00:00.000
1;1589;2014-01-09T05:00:00.000
1;3341;2014-01-05T05:00:00.000
1;3339;2013-12-30T05:00:00.000
1;2402;2013-12-30T05:00:00.000
1;2401;2013-12-11T05:00:00.000
1;1382;2013-12-11T05:00:00.000
1;3335;2013-12-08T05:00:00.000
1;3317;2013-12-06T05:00:00.000
1;3329;2013-12-06T05:00:00.000
1;3332;2013-12-05T05:00:00.000
1;3330;2013-11-29T05:00:00.000
1;1867;2013-11-29T05:00:00.000
1;1197;2013-11-29T05:00:00.000
1;3319;2013-11-29T05:00:00.000
1;1885;2013-11-29T05:00:00.000
1;1862;2013-11-27T05:00:00.000
1;1886;2013-11-20T05:00:00.000
1;649;2013-11-20T05:00:00.000
1;154;2013-11-19T05:00:00.000
1;3316;2013-11-20T05:00:00.000
1;617;2013-10-30T04:00:00.000
1;3313;2013-10-30T04:00:00.000
1;3300;2013-09-23T04:00:00.000
1;1522;2013-09-20T04:00:00.000
1;2391;2013-09-14T04:00:00.000
1;896;2013-09-11T04:00:00.000
1;3298;2013-09-11T04:00:00.000
1;462;2013-09-02T04:00:00.000
1;3295;2013-09-23T04:00:00.000
1;432;2013-08-31T04:00:00.000
1;3292;2013-08-27T04:00:00.000
1;3290;2013-08-24T04:00:00.000
1;2383;2013-08-22T04:00:00.000
1;1195;2013-08-22T04:00:00.000
1;3283;2013-08-05T04:00:00.000
1;1875;2013-08-05T04:00:00.000
1;3279;2013-07-31T04:00:00.000
1;2378;2013-07-29T04:00:00.000
1;1579;2013-07-27T04:00:00.000
1;291;2013-07-27T04:00:00.000
1;454;2013-07-14T04:00:00.000
1;2375;2013-07-14T04:00:00.000
1;292;2013-07-14T04:00:00.000
1;158;2013-07-14T04:00:00.000
1;3256;2013-07-11T04:00:00.000
1;1846;2013-07-03T04:00:00.000
1;3259;2013-06-30T04:00:00.000
1;1066;2013-06-28T04:00:00.000
1;1061;2013-06-26T04:00:00.000
1;3253;2013-06-17T04:00:00.000
1;1860;2013-06-07T04:00:00.000
1;3247;2013-06-04T04:00:00.000
1;2368;2013-06-04T04:00:00.000
1;151;2013-05-30T04:00:00.000
1;3245;2013-05-27T04:00:00.000
1;1574;2013-05-26T04:00:00.000
1;290;2013-05-23T04:00:00.000
1;1570;2013-05-20T04:00:00.000
1;3233;2013-05-19T04:00:00.000
1;891;2013-05-18T04:00:00.000
1;1856;2013-05-05T04:00:00.000
1;115;2013-05-05T04:00:00.000
1;3215;2013-05-03T04:00:00.000
1;483;2013-04-25T04:00:00.000
1;1365;2013-04-24T04:00:00.000
1;3211;2013-04-21T04:00:00.000
1;3210;2013-04-20T04:00:00.000
1;3189;2013-04-17T04:00:00.000
1;3193;2013-04-16T04:00:00.000
1;1847;2013-04-16T04:00:00.000
1;3202;2013-04-15T04:00:00.000
1;2351;2013-04-15T04:00:00.000
1;1063;2013-04-14T04:00:00.000
1;2352;2013-04-14T04:00:00.000
1;1051;2013-04-08T04:00:00.000
1;3173;2013-04-02T04:00:00.000
1;1843;2013-03-31T04:00:00.000
1;3163;2013-03-29T04:00:00.000
1;1186;2013-03-29T04:00:00.000
1;7341;2013-03-29T04:00:00.000
1;2342;2013-07-27T04:00:00.000
1;3139;2013-03-29T04:00:00.000
1;3167;2013-03-27T04:00:00.000
1;459;2013-03-25T04:00:00.000
1;2338;2013-03-24T04:00:00.000
1;1842;2013-03-24T04:00:00.000
1;2334;2013-03-22T04:00:00.000
1;3156;2013-03-21T04:00:00.000
1;817;2013-03-14T04:00:00.000
1;1840;2013-03-11T04:00:00.000
1;3141;2013-03-09T05:00:00.000
1;1521;2013-03-09T05:00:00.000
1;3149;2013-03-09T05:00:00.000
1;2324;2013-03-09T05:00:00.000
1;1839;2013-03-08T05:00:00.000
1;3143;2013-03-08T05:00:00.000
1;3148;2013-03-08T05:00:00.000
1;3142;2013-03-05T05:00:00.000
1;1060;2013-02-25T05:00:00.000
1;7431;2013-02-25T05:00:00.000
1;1355;2013-02-18T05:00:00.000
1;3134;2013-02-17T05:00:00.000
1;174;2013-02-13T05:00:00.000
1;2315;2013-02-09T05:00:00.000
1;1356;2013-02-07T05:00:00.000
1;3124;2013-02-07T05:00:00.000
1;1835;2013-02-05T05:00:00.000
1;296;2013-02-02T05:00:00.000
1;1180;2013-02-01T05:00:00.000
1;3118;2013-01-29T05:00:00.000
1;1542;2013-01-28T05:00:00.000
1;3113;2013-01-20T05:00:00.000
1;3111;2013-01-15T05:00:00.000
1;3013;2013-01-14T05:00:00.000
1;529;2013-01-07T05:00:00.000
1;1826;2013-01-05T05:00:00.000
1;3103;2013-01-05T05:00:00.000
1;1822;2013-01-05T05:00:00.000
1;3101;2013-01-02T05:00:00.000
1;753;2012-12-21T05:00:00.000
1;3083;2012-12-21T05:00:00.000
1;3088;2012-12-19T05:00:00.000
1;395;2012-12-18T05:00:00.000
1;3084;2012-12-15T05:00:00.000
1;333;2012-12-10T05:00:00.000
1;1339;2012-12-07T05:00:00.000
1;3068;2012-12-07T05:00:00.000
1;3042;2012-12-06T05:00:00.000
1;3078;2012-12-05T05:00:00.000
1;596;2012-12-05T05:00:00.000
1;1796;2012-12-01T05:00:00.000
1;2281;2012-12-01T05:00:00.000
1;3070;2012-11-27T05:00:00.000
1;1442;2012-11-26T05:00:00.000
1;3064;2012-11-23T05:00:00.000
1;194;2012-11-21T05:00:00.000
1;3062;2012-11-20T05:00:00.000
1;701;2012-11-18T05:00:00.000
1;3059;2012-11-17T05:00:00.000
1;124;2012-11-15T05:00:00.000
1;7427;2012-11-13T05:00:00.000
1;3057;2012-11-13T05:00:00.000
1;396;2012-11-09T05:00:00.000
1;2276;2012-11-09T05:00:00.000
1;2273;2012-11-09T05:00:00.000
1;3048;2012-11-06T05:00:00.000
1;523;2013-02-07T05:00:00.000
1;2271;2012-10-31T04:00:00.000
1;95;2012-10-21T04:00:00.000
1;1525;2012-10-18T04:00:00.000
1;2235;2012-10-17T04:00:00.000
1;2261;2012-10-15T04:00:00.000
1;1342;2012-10-12T04:00:00.000
1;331;2012-10-12T04:00:00.000
1;3027;2012-10-11T04:00:00.000
1;3023;2012-10-10T04:00:00.000
1;3026;2012-10-10T04:00:00.000
1;373;2012-10-10T04:00:00.000
1;68;2012-10-10T04:00:00.000
1;1331;2012-10-08T04:00:00.000
1;116;2012-10-07T04:00:00.000
1;2147;2012-10-04T04:00:00.000
1;3020;2012-09-30T04:00:00.000
1;2252;2012-09-30T04:00:00.000
1;179;2012-09-30T04:00:00.000
1;3004;2012-09-26T04:00:00.000
1;491;2012-09-24T04:00:00.000
1;214;2012-09-20T04:00:00.000
1;439;2012-09-18T04:00:00.000
1;3010;2012-09-17T04:00:00.000
1;2090;2012-09-16T04:00:00.000
1;3006;2012-09-14T04:00:00.000
1;810;2012-09-14T04:00:00.000
1;1167;2012-09-13T04:00:00.000
1;697;2012-09-09T04:00:00.000
1;67;2012-09-09T04:00:00.000
1;258;2012-09-04T04:00:00.000
1;1793;2012-09-04T04:00:00.000
1;3000;2012-09-02T04:00:00.000
1;2999;2012-09-02T04:00:00.000
1;1340;2012-09-02T04:00:00.000
1;2996;2012-08-29T04:00:00.000
1;2989;2012-08-28T04:00:00.000
1;1043;2012-08-25T04:00:00.000
1;554;2012-08-25T04:00:00.000
1;1336;2012-08-23T04:00:00.000
1;1337;2012-08-18T04:00:00.000
1;2238;2012-08-09T04:00:00.000
1;178;2012-08-03T04:00:00.000
1;747;2012-07-17T04:00:00.000
1;2966;2012-07-14T04:00:00.000
1;2962;2012-07-04T04:00:00.000
1;474;2012-07-03T04:00:00.000
1;330;2012-07-01T04:00:00.000
1;260;2012-06-30T04:00:00.000
1;2952;2012-06-22T04:00:00.000
1;455;2012-06-18T04:00:00.000
1;2941;2012-06-17T04:00:00.000
1;2947;2012-06-17T04:00:00.000
1;2945;2012-06-13T04:00:00.000
1;2942;2012-06-12T04:00:00.000
1;623;2012-06-11T04:00:00.000
1;1509;2012-06-11T04:00:00.000
1;2926;2012-06-10T04:00:00.000
1;29;2012-06-06T04:00:00.000
1;2217;2012-06-04T04:00:00.000
1;123;2012-08-02T04:00:00.000
1;1510;2012-06-01T04:00:00.000
1;1505;2012-05-28T04:00:00.000
1;2927;2012-05-26T04:00:00.000
1;804;2012-05-21T04:00:00.000
1;2920;2012-05-15T04:00:00.000
