Source;Target;X;Y
2617;3281;-1663.1715;-1615.5886
513;1678;-1017.9001;-1213.7999
3400;4234;-1089.957;-997.30804
1371;5072;-1806.9711;-1536.2067
3541;5329;1743.6681;-2593.5266
639;1374;2568.052;234.82124
1488;4975;878.15344;-916.03784
2815;4821;1653.5021;-1366.6619
2652;5221;2199.9204;-500.93607
4288;5175;1614.3486;1284.0289
2373;4972;-1463.2909;-1491.23
1547;4924;-981.93085;2463.647
4674;5292;-819.52026;2051.4778
2802;4845;1557.4958;-344.63986
453;5483;1763.737;-2488.4321
797;5584;1689.8231;-1434.3945
1441;1456;-245.39919;-1214.19
992;1404;-1589.0205;-1516.1794
650;4758;1628.8811;759.5191
1067;3374;-1274.2738;2438.1636
787;2441;-67.96395;-514.86127
2188;3892;428.67667;-1340.7451
1223;5402;2587.0427;112.35571
2289;2992;873.6463;-2379.1367
1970;1421;-1483.5125;-1338.3647
2135;5882;-1612.3298;-379.92072
1214;5536;1429.6381;1318.4097
1371;4525;-1806.9711;-1536.2067
1924;3008;-3280.901;868.91956
1796;5885;-1213.2004;2325.315
3336;2562;-1648.8646;-1387.1049
4551;5245;2552.5867;-45.170162
1864;2329;-1125.9952;-202.09186
3171;4214;1648.3372;-465.54312
191;3737;59.17096;-535.5627
2379;530;-654.6584;1497.203
442;1673;-508.49054;-197.41183
739;655;1082.5094;2628.2175
1099;2831;-1519.8522;-20.167469
433;3130;131.2908;2590.9634
762;4423;1609.4474;-2718.3284
1562;2107;910.84186;-2379.7046
4284;4838;-1662.7222;-1361.9279
688;3189;-132.63808;992.0931
2059;5180;-1344.8225;-1067.0013
3568;5569;1281.5195;1236.4459
3460;5733;-1470.708;-455.71503
5229;5618;-24.713734;-725.3628
2424;5422;-1554.9026;66.03256
4874;5228;-1417.3701;-105.4328
1744;4944;706.5782;443.55435
3140;3883;-1340.6096;2538.6777
3400;4081;-1089.957;-997.30804
748;922;1654.1702;-1237.8193
1694;5229;-56.783497;-855.1587
195;4011;-1737.2361;-1459.6631
2874;5235;1132.4746;-1572.6162
1101;1448;1356.5339;1436.8152
1199;2851;1632.3491;822.99274
3576;4533;-1199.8495;-245.99281
3864;4866;1328.3357;464.10217
3081;1073;-1327.6844;-295.06915
700;4217;-288.295;1682.1006
3362;3956;458.98416;-824.2613
1292;2495;703.94745;-209.54607
2742;4465;1638.4983;1621.2722
1625;4672;2704.946;253.15308
2713;5800;-1354.3832;2408.639
4992;3162;-1609.7666;2089.2048
79;2770;-1570.8195;-1116.2926
2474;4651;9.087072;-2316.758
1458;1374;2374.4436;179.9328
1676;5154;-1022.39294;2536.3684
277;5052;-1591.232;-356.42297
100;3857;933.1591;-2342.0183
801;3273;1558.9316;-1013.06793
1202;3885;1657.0836;-2808.9417
137;5227;-585.8962;-52.27025
2805;5803;-546.1882;2748.9993
547;5184;-1527.2198;9.533158
731;4342;1008.6955;132.45308
1965;5387;-345.02084;1422.3087
438;4268;1742.5206;976.1144
445;3406;142.64987;313.73935
1933;4426;2196.2456;32.71274
1864;2405;-1125.9952;-202.09186
4378;1086;-1347.3966;-1428.0487
726;2445;-1538.7758;-1320.035
210;2512;-1733.8547;-1333.5222
3641;4459;-1440.2675;-447.12674
3883;4630;-1208.8201;2546.13
44;3283;449.37787;3344.9802
1344;1466;-1501.1912;2421.0337
1703;2342;1000.86053;2353.2366
2054;2798;410.90347;3277.346
2361;4571;-1629.6438;53.94086
938;1371;-1787.5995;-1389.2183
4197;4987;-1302.7681;2322.145
1499;2095;2329.6638;1219.6577
3848;3872;-1646.0199;-1513.9875
1648;5692;1809.2842;-1168.568
4530;859;1740.4945;-616.852
676;1909;-1177.9261;2447.0994
1581;5628;-1583.1033;-452.71335
2515;4525;-1782.4714;-1246.2667
4247;4745;2264.7607;-2137.6375
2386;2412;1625.2435;-2634.4675
3793;4525;-1520.7723;-1394.6779
611;1936;1322.5581;1166.6423
1807;4795;1014.6216;1824.034
3319;2956;-1326.6411;-241.56705
696;2253;-208.0872;395.42944
1263;2417;1751.1094;-1147.5543
2738;5726;-1377.4801;-1264.6731
97;4390;1583.8195;1205.069
1471;2167;1916.7476;794.095
3148;4419;-345.12018;-336.0164
1327;5732;903.2166;267.8254
1825;5076;-1597.4523;-1540.055
1301;1864;-818.1369;-152.96364
1194;4622;-1764.3717;-1385.5818
1271;2791;-1703.0125;-1338.6909
4080;4643;-922.87946;-1300.9045
2455;4258;614.91254;57.88108
597;3931;1154.6693;-276.598
4294;3373;-924.95917;-457.3347
2046;2852;-942.63513;2370.9685
706;5489;-1109.829;-1452.9816
4293;4856;-1647.6649;2027.2849
1469;2077;-44.91403;-2296.3767
2937;5889;-428.85135;-64.47739
505;5889;-632.3703;-87.91316
1155;3891;-447.3006;421.27457
4193;4228;-624.5511;1440.5499
3;1172;1520.46;-257.1259
1355;3326;900.987;218.0586
3460;5882;-1470.708;-455.71503
1788;5542;1054.92;1749.41
5546;5800;244.40741;429.32144
1047;2025;359.7499;-860.4057
178;2996;1688.0497;-2724.5662
578;2825;1321.2678;1246.3883
4855;2798;453.62445;3412.435
4985;5905;-172.61998;824.76526
1521;5141;-530.84155;-65.53923
319;5416;-1621.0319;-1330.6945
434;4876;670.0284;-1205.8424
1188;2572;-1764.2839;-1454.4318
3981;4356;-1410.5817;-1077.0276
5324;4100;223.1815;2759.7642
2386;5246;1625.2435;-2634.4675
3460;5899;-1470.708;-455.71503
1571;4183;-584.074;1428.5469
1340;2331;1606.2101;-1296.41
155;3924;363.45453;2752.5286
2949;3576;-1274.7784;-377.3934
1058;1261;1087.042;72.70065
2701;5768;1459.7301;1066.0929
4341;5520;-1264.6478;-1219.4612
1371;1627;-1806.9711;-1536.2067
1388;2252;-331.4732;325.22836
3387;5066;-256.03015;-39.948677
5125;5882;-1337.68;-273.6721
479;1282;-1535.4536;2021.2971
2695;2986;622.7514;407.3277
1059;5188;-222.53603;2005.377
613;1127;-1506.8262;-1420.2703
3569;5489;-794.248;-1054.3059
3281;5079;-1675.8309;-1502.322
2741;3878;180.79778;2663.513
1409;3994;1800.8619;-1418.5326
1483;2111;1873.7715;-2591.5605
4774;5536;1444.8768;1196.7048
147;2111;1688.589;-2658.66
1885;1430;133.60393;2561.858
2154;5483;1649.4319;-2624.162
1581;3958;-1583.1033;-452.71335
2518;3402;-1302.2585;-365.59058
3008;5840;-3427.5955;856.896
2890;5779;-1606.1653;2130.6077
2009;4459;-1424.5269;-428.72134
4097;1435;2725.2192;113.3158
2021;2111;1550.3345;-2557.5732
2650;3469;-1912.9327;295.09314
3008;3510;-3427.5955;856.896
2638;4082;2662.0022;-33.806625
3889;5085;2398.9077;71.78951
162;2396;385.18503;3313.2625
2180;5229;-108.03225;-769.5941
937;1862;-439.89642;1646.2386
1548;2386;1806.4924;-2633.2673
2334;3883;-1109.886;2419.7505
3947;4679;-1337.092;-617.9334
1076;2760;2348.2764;-66.525764
3219;5726;-1731.0334;-1203.3099
169;2555;-1324.1715;2416.5247
3008;368;-3427.5955;856.896
1578;4523;-1054.6956;2528.1929
4835;5692;1759.6958;-1360.4934
3513;5770;1059.2764;2394.4978
1622;3948;-1275.7528;2697.274
175;5643;-1487.1133;-294.7636
661;918;1525.9298;-886.62286
941;1421;-1718.2235;-1399.4498
401;2509;-13.239984;-640.92395
2357;4444;-1648.5275;-314.98856
2683;5766;-577.1522;-263.2602
1853;4160;-1555.8204;-1378.1868
608;1930;-1539.8551;-152.53868
2624;4116;2627.2676;213.02213
3156;3440;-55.411358;1019.369
133;886;-346.28403;1525.5037
1641;3082;-1722.2782;-1425.854
4530;3599;1740.4945;-616.852
1690;1965;-378.9741;1538.0482
1474;1686;-1304.5948;-1115.2084
1062;4972;-1767.5298;-1305.3682
1470;5871;-1554.2404;-1350.7054
1367;3667;2542.6138;176.55278
3952;4086;-940.243;-1376.5328
2094;5127;417.08832;51.775864
911;5819;-717.46295;1451.8354
210;5076;-1733.8547;-1333.5222
2725;3322;-1419.3772;-259.78903
2770;5421;-1678.9767;-1392.1771
2204;4670;1822.8041;-648.43134
1590;5718;-658.5251;1356.372
1252;1885;-64.57633;2532.829
1220;4987;-1278.1084;2336.8044
72;1220;-1387.3267;2471.1106
4195;4889;-1380.4481;-119.80089
1042;4346;1048.8737;2578.3035
192;4698;2556.182;-85.043686
4032;5873;-1403.2952;-1218.8428
1066;3490;-494.5503;-442.73944
5440;5748;611.028;1104.2052
2755;5154;-1109.9918;2526.8992
1920;4457;-3376.5994;914.12274
3094;4796;-1026.1403;135.19385
1407;5438;1772.5737;-2582.54
4184;4347;685.14545;477.28128
4044;5838;-220.3282;819.667
951;3012;886.4821;-2313.9822
1172;5835;2313.9358;-187.95905
2306;3353;782.149;247.16232
803;5189;-938.96326;-498.43024
1753;2515;-1772.1238;-889.9234
1952;2862;-1822.1478;-601.07904
1239;5477;1834.3832;-2574.9282
3094;541;-1026.1403;135.19385
4;2353;2279.5261;-2227.861
1864;2403;-1125.9952;-202.09186
4473;4945;1790.4614;491.3398
3428;3594;900.12244;2238.8286
2706;867;1877.1315;-539.9972
1215;3506;-436.72192;1460.5896
2365;2506;1769.4292;-2790.3208
1337;3619;812.8111;-364.991
3818;5872;1150.8201;496.21732
2034;5055;-481.31845;1475.0751
2679;5800;930.65985;606.3994
2453;4113;-1039.549;-1340.2523
2562;5277;-1328.0096;-1470.9274
4437;4801;-1453.6925;2680.093
3311;5252;2609.1963;232.41484
100;2258;933.1591;-2342.0183
479;5089;-1535.4536;2021.2971
2770;3793;-1678.9767;-1392.1771
933;2618;-1375.8273;-362.62576
1698;5719;493.91003;3292.1924
802;3227;-1533.8539;2641.7434
2730;3684;-1378.364;2500.904
1077;4621;180.20564;158.82895
1429;4821;1757.6418;-1263.31
4752;5867;1579.302;-2606.077
2736;2880;-580.0755;1478.4607
4274;5772;-1410.2522;2.977113
2186;2615;621.8642;326.54965
5524;4386;-1012.06256;-1344.8059
1473;3883;-1061.9799;2496.6033
4964;5137;-1225.2692;-1185.5642
1434;5505;-643.1133;-1205.3486
1442;4367;345.98157;462.1718
210;1853;-1733.8547;-1333.5222
113;3110;-1690.36;-1591.9689
1372;2131;1738.0641;-1104.0629
519;5168;-378.96832;1504.2094
1356;3374;-359.98486;382.801
617;2127;-1560.5305;-202.4927
98;3121;-1348.9126;2304.3767
4108;5391;196.66856;2535.5325
933;255;-1375.8273;-362.62576
46;4455;1090.4417;2562.7947
1660;3370;-1671.1821;-549.8644
3008;3133;-3427.5955;856.896
2494;5493;674.208;1193.5887
467;3663;825.4463;-866.4361
480;4749;-1420.1366;2463.0796
2933;3611;-181.35002;1980.3446
98;3327;-1348.9126;2304.3767
3048;5412;1610.8872;689.6134
1590;4759;-658.5251;1356.372
1864;2688;-1125.9952;-202.09186
630;3599;1643.1912;-593.10565
3252;5901;-926.83997;-916.42004
426;1571;-422.47998;1496.4912
1230;5841;1142.6617;-1499.4933
2540;4293;-1608.2229;2179.8533
637;2952;2493.2786;-82.929344
3156;1003;-55.411358;1019.369
2690;3094;-1461.0887;-1394.321
976;2592;-22.47782;-2352.1436
3211;3603;-453.5388;1501.6527
315;3027;451.52448;3237.9355
194;4017;2344.1729;-339.02893
1173;4708;2688.527;80.11782
3526;4306;536.6724;-663.865
4274;5052;-1410.2522;2.977113
3414;4032;-1698.9722;-1413.3431
1825;5797;-1597.4523;-1540.055
2034;3117;-481.31845;1475.0751
2259;3438;1016.1958;2565.3423
1220;5855;-1278.1084;2336.8044
3087;4175;-1291.4628;2407.7004
679;4763;-745.7064;-1183.6788
2437;3654;2372.9954;84.63038
1448;2490;1243.369;1258.3656
3438;4953;1039.715;2541.25
1374;4951;2341.9976;231.89012
579;700;-344.5609;1488.6715
221;3178;-709.13214;-1204.0664
98;4498;-1348.9126;2304.3767
1199;4633;1632.3491;822.99274
997;4707;-974.8517;-1475.2874
2116;3489;-1305.2031;2528.8853
2034;2948;-481.31845;1475.0751
1210;4713;-1474.207;-253.2268
1174;3475;756.6922;977.37354
3063;4603;396.7854;383.03473
2097;5579;-1350.41;-483.113
319;3094;-1621.0319;-1330.6945
4116;5252;2585.6406;349.417
2698;3669;1624.6809;-534.69617
3963;4140;2445.926;12.751677
3752;4296;1800.618;-1257.8472
1744;5800;706.5782;443.55435
2041;5701;-1625.5548;-1372.8004
3576;3759;-1199.8495;-245.99281
2828;5561;1621.9899;-2863.055
3391;4488;1377.9188;1276.5571
342;2502;1045.59;1773.0612
1853;2964;-1555.8204;-1378.1868
2815;3630;1653.5021;-1366.6619
1651;4525;-1775.9604;-1418.0748
396;5344;2338.1082;-2169.2283
3567;4042;1823.8904;-2705.3816
3127;4547;36.60246;812.01825
214;4902;2958.8975;-64.72979
1485;1556;506.71655;23.414392
1540;1904;-337.2313;1642.7338
775;2408;-746.5523;-370.53433
2021;4932;1550.3345;-2557.5732
2180;5473;-108.03225;-769.5941
2257;3380;-1441.686;-1360.3414
3112;5800;868.4788;638.612
641;1707;1730.1926;-2642.3123
4912;5459;1528.6545;1278.5782
560;4835;1692.0262;-1320.4213
2168;3356;-207.34167;1979.4109
616;3193;960.8164;1718.7551
2878;4938;2410.5574;-2147.5886
3203;4565;72.19875;2336.75
1723;1800;-904.94104;-1400.9161
531;4789;-484.87497;1504.6244
589;5151;-838.06885;-1302.3416
1429;4542;1757.6418;-1263.31
4216;4667;1152.1892;2622.863
2252;2327;353.67905;77.89158
18;2375;-232.40015;-207.737
231;378;-681.4607;-1084.8723
1343;3987;-99.44213;-571.5127
2320;3024;-1662.56;-1568.1937
668;3607;531.7752;-485.91516
1421;3363;-1575.3544;-1401.3536
1547;3372;-981.93085;2463.647
1171;4672;2694.735;190.12059
961;4598;-1252.9631;2475.9607
4541;5474;383.5852;3226.0833
3487;5416;-1600.8234;-1645.5267
1766;1825;-1673.2786;-1473.7748
5770;5833;1067.2175;2489.9814
1675;3140;-1449.187;2513.9492
4874;5896;-1417.3701;-105.4328
1662;4488;1137.3489;987.00415
2524;4911;-1240.7522;2519.671
88;2739;2328.7798;-2139.5737
1710;3680;-1506.6434;-323.79544
2777;3772;-612.12195;25.034018
993;5884;716.74457;-175.64348
3226;3768;-463.38135;1540.059
873;3752;1673.8313;-1300.9252
961;2759;-1252.9631;2475.9607
5508;5638;-1602.9646;-1355.8562
4135;5088;-1456.0831;-1242.523
1578;4911;-1054.6956;2528.1929
870;5756;2357.9353;-229.84297
3101;4733;-130.56827;-2194.1458
1340;4821;1606.2101;-1296.41
5744;1333;2672.1243;-84.35361
2996;5907;1621.1122;-2578.5637
3654;4548;2731.1338;-16.064438
391;2654;606.6244;88.68579
3924;4144;467.02026;3292.617
2723;5808;-1333.2921;-1364.1779
1081;2851;1697.143;842.25793
4091;4889;-1545.1943;-179.05116
1581;4236;-1583.1033;-452.71335
1091;4585;-1272.7081;-351.77078
1890;4739;498.6238;3420.027
282;4084;726.4766;624.58777
190;3955;-547.14056;1588.3806
175;5393;-1487.1133;-294.7636
3896;4720;-1335.5645;-38.831844
112;1256;2424.5242;222.28487
3635;3797;-1632.3578;-394.16275
2510;2548;1633.5897;1267.3342
2713;4501;-1354.3832;2408.639
3099;5695;-1068.306;2230.9548
1395;4759;-214.60596;1542.5289
2097;3641;-1350.41;-483.113
492;2951;-1435.1271;-514.02893
1725;2338;1559.6504;-2493.639
4135;4476;-1456.0831;-1242.523
3627;4838;-1389.3682;-1294.6501
413;3557;-1367.7148;-649.8558
256;4972;-1457.412;-1316.7152
4180;2770;-1561.0594;-1290.13
1699;4637;108.81771;2614.3699
617;5870;-1560.5305;-202.4927
191;1339;59.17096;-535.5627
5381;5828;2419.4004;-151.51172
3134;1903;-383.93073;2630.8794
2206;2698;1836.6305;-496.4187
5491;5498;2861.9304;52.996128
1849;4438;-1387.0764;2411.278
2960;4286;-7.053798;903.4628
3112;5581;868.4788;638.612
2900;4132;45.426384;226.99109
1396;4496;-456.36075;1421.1093
246;4145;652.5485;407.9332
168;3617;1742.2739;112.82879
617;5714;-1560.5305;-202.4927
2715;4953;1035.3683;2425.748
1456;4920;1619.8853;-1199.0419
1215;2565;-436.72192;1460.5896
1127;2367;-1806.2687;-1484.437
3490;5215;-327.95508;-239.7933
791;2386;1277.7002;-2218.214
3460;3574;-1470.708;-455.71503
94;1594;81.00669;504.8767
3300;5082;1511.5209;1323.8142
2111;3885;1707.7207;-2579.6497
350;5867;1657.5007;-2527.9663
2009;3968;-1424.5269;-428.72134
1059;3356;-222.53603;2005.377
320;3654;2332.3079;-129.56961
3185;3957;-260.3655;1978.6702
2713;3374;-1354.3832;2408.639
2414;2684;1481.7493;-2844.6287
2160;3548;1806.935;-1226.2609
4656;5041;-1433.0898;-69.845146
3680;5567;-1224.0164;-317.63293
3930;3986;1521.0886;1183.3654
1271;2298;-1703.0125;-1338.6909
1437;2327;532.51044;75.32332
706;1723;-1109.829;-1452.9816
403;4906;-1533.4886;-1239.7947
3268;3270;-1434.2848;-211.95543
3552;4549;-420.9391;2625.7378
516;5726;-1587.8704;-1451.6202
1021;3173;2426.4707;-2175.1267
173;2298;-1624.6016;-1251.5884
2298;4378;-1549.4502;-1455.3624
5524;2645;-1012.06256;-1344.8059
2168;5240;-207.34167;1979.4109
1466;5779;-1544.528;2081.4866
1824;4585;-373.29343;-607.8199
639;892;2568.052;234.82124
1324;5046;1415.8741;-2344.94
1167;1734;1816.1559;1079.9907
196;4899;886.8356;-4668.3735
3068;3068;-3209.2078;955.25885
578;5082;1321.2678;1246.3883
1908;3599;1775.0656;-543.8457
2612;5554;-509.35266;1533.1704
1695;3736;397.27078;666.2926
3720;3925;-1548.5234;-326.16034
4090;5416;-1833.0674;-1428.6412
1651;3414;-1775.9604;-1418.0748
1215;2942;-436.72192;1460.5896
1849;2644;-1387.0764;2411.278
1887;2094;669.55493;83.71074
2579;4469;-1486.1411;-14.665226
510;2757;1642.211;-1430.4377
3089;2218;1484.7858;-244.0546
1128;4812;722.1786;192.06696
354;4857;-1469.5416;-1367.6182
98;1687;-1348.9126;2304.3767
2028;4791;1772.8662;-484.0308
1246;4115;1159.661;-1570.4968
1942;2695;757.95593;529.69543
2931;4109;-1272.0939;-162.08862
169;4924;-1324.1715;2416.5247
4009;1374;2502.291;70.24269
98;2524;-1348.9126;2304.3767
2900;4806;45.426384;226.99109
848;1972;-1156.4734;2531.881
1122;3696;-283.80444;1601.7816
1965;5355;-345.02084;1422.3087
2025;4921;532.8639;-952.4336
4715;2370;1384.9054;-366.84
3130;3413;29.641682;2567.998
1690;1436;-378.9741;1538.0482
121;1088;-1421.8828;2496.2253
2690;3324;-1461.0887;-1394.321
277;3270;-1591.232;-356.42297
210;3801;-1733.8547;-1333.5222
191;787;59.17096;-535.5627
938;5726;-1787.5995;-1389.2183
1909;5158;-1360.8104;2458.583
101;3831;-1555.3613;-347.7536
1632;2647;-1397.7102;2334.1
957;1140;318.28073;-1918.2213
1937;5412;1955.098;861.79663
147;2166;1688.589;-2658.66
543;1128;761.56635;127.71396
3197;4919;-2026.3274;-588.1408
895;4539;-386.8049;-267.8641
1201;3154;2678.602;57.64491
3848;4081;-1646.0199;-1513.9875
479;5732;-1535.4536;2021.2971
1629;558;1599.829;911.8691
3974;5503;-1874.636;-1339.1202
1414;1627;-1715.9083;-1525.1558
86;4341;-1406.6016;-1262.6309
2485;5753;-892.13275;-1362.6686
5137;5657;-1769.2136;-1334.0233
453;2017;1763.737;-2488.4321
2726;3099;-192.93501;1556.2361
4120;4694;1651.683;-2659.036
1838;1974;-251.91695;-704.5823
1454;2807;1675.9259;-2306.3716
5416;5808;-1517.3867;-1485.0776
388;1758;-1730.6277;-1495.4419
179;1436;-619.6818;1495.5685
2028;4825;1772.8662;-484.0308
4528;5099;-101.40587;-664.41656
110;4576;215.85999;1290.6929
1849;4185;-1387.0764;2411.278
3117;3211;-539.75757;1511.0227
1215;2634;-436.72192;1460.5896
1356;4657;-359.98486;382.801
3957;5533;-275.17764;1884.5426
279;5871;-1783.5535;-1477.5823
2063;2946;-79.03436;2615.9368
2948;3849;-406.34958;1478.0319
3412;4319;1711.5663;-2784.317
767;2858;-73.62442;-147.82861
4339;4366;-1286.8646;-322.03363
5616;1569;1436.804;1045.9069
2175;3283;502.37247;3346.2764
531;1145;-484.87497;1504.6244
2225;3008;-3277.029;1076.4567
4594;4894;1390.6561;1127.8839
639;835;2568.052;234.82124
2297;4915;-1201.7063;2578.9717
3326;5064;739.111;222.32388
1919;3668;2556.8503;-198.02827
